BetterThanMed,WorseThanMed,Percentage,ProbOfMiss
6666,4009,62.44% - 37.56%,20.65
6667,4008,62.45% - 37.55%,20.65
6668,4007,62.46% - 37.54%,20.64
6669,4006,62.47% - 37.53%,20.63
6670,4005,62.48% - 37.52%,20.62
6671,4004,62.49% - 37.51%,20.61
6672,4003,62.5% - 37.5%,20.6
6673,4002,62.51% - 37.49%,20.59
6674,4001,62.52% - 37.48%,20.58
6675,4000,62.53% - 37.47%,20.57
6676,3999,62.54% - 37.46%,20.56
6677,3998,62.55% - 37.45%,20.55
6678,3997,62.56% - 37.44%,20.54
6679,3996,62.57% - 37.43%,20.53
6680,3995,62.58% - 37.42%,20.52
6681,3994,62.59% - 37.41%,20.52
6682,3993,62.59% - 37.41%,20.51
6683,3992,62.6% - 37.4%,20.5
6684,3991,62.61% - 37.39%,20.49
6685,3990,62.62% - 37.38%,20.48
6686,3989,62.63% - 37.37%,20.47
6687,3988,62.64% - 37.36%,20.46
6688,3987,62.65% - 37.35%,20.45
6689,3986,62.66% - 37.34%,20.44
6690,3985,62.67% - 37.33%,20.43
6691,3984,62.68% - 37.32%,20.42
6692,3983,62.69% - 37.31%,20.41
6693,3982,62.7% - 37.3%,20.4
6694,3981,62.71% - 37.29%,20.39
6695,3980,62.72% - 37.28%,20.39
6696,3979,62.73% - 37.27%,20.38
6697,3978,62.74% - 37.26%,20.37
6698,3977,62.74% - 37.26%,20.36
6699,3976,62.75% - 37.25%,20.35
6700,3975,62.76% - 37.24%,20.34
6701,3974,62.77% - 37.23%,20.33
6702,3973,62.78% - 37.22%,20.32
6703,3972,62.79% - 37.21%,20.31
6704,3971,62.8% - 37.2%,20.3
6705,3970,62.81% - 37.19%,20.29
6706,3969,62.82% - 37.18%,20.28
6707,3968,62.83% - 37.17%,20.27
6708,3967,62.84% - 37.16%,20.27
6709,3966,62.85% - 37.15%,20.26
6710,3965,62.86% - 37.14%,20.25
6711,3964,62.87% - 37.13%,20.24
6712,3963,62.88% - 37.12%,20.23
6713,3962,62.89% - 37.11%,20.22
6714,3961,62.89% - 37.11%,20.21
6715,3960,62.9% - 37.1%,20.2
6716,3959,62.91% - 37.09%,20.19
6717,3958,62.92% - 37.08%,20.18
6718,3957,62.93% - 37.07%,20.17
6719,3956,62.94% - 37.06%,20.16
6720,3955,62.95% - 37.05%,20.15
6721,3954,62.96% - 37.04%,20.14
6722,3953,62.97% - 37.03%,20.13
6723,3952,62.98% - 37.02%,20.13
6724,3951,62.99% - 37.01%,20.12
6725,3950,63.0% - 37.0%,20.11
6726,3949,63.01% - 36.99%,20.1
6727,3948,63.02% - 36.98%,20.09
6728,3947,63.03% - 36.97%,20.08
6729,3946,63.04% - 36.96%,20.07
6730,3945,63.04% - 36.96%,20.06
6731,3944,63.05% - 36.95%,20.05
6732,3943,63.06% - 36.94%,20.04
6733,3942,63.07% - 36.93%,20.03
6734,3941,63.08% - 36.92%,20.02
6735,3940,63.09% - 36.91%,20.01
6736,3939,63.1% - 36.9%,20.0
6737,3938,63.11% - 36.89%,20.0
6738,3937,63.12% - 36.88%,19.99
6739,3936,63.13% - 36.87%,19.98
6740,3935,63.14% - 36.86%,19.97
6741,3934,63.15% - 36.85%,19.96
6742,3933,63.16% - 36.84%,19.95
6743,3932,63.17% - 36.83%,19.94
6744,3931,63.18% - 36.82%,19.93
6745,3930,63.19% - 36.81%,19.92
6746,3929,63.19% - 36.81%,19.91
6747,3928,63.2% - 36.8%,19.9
6748,3927,63.21% - 36.79%,19.89
6749,3926,63.22% - 36.78%,19.88
6750,3925,63.23% - 36.77%,19.87
6751,3924,63.24% - 36.76%,19.87
6752,3923,63.25% - 36.75%,19.86
6753,3922,63.26% - 36.74%,19.85
6754,3921,63.27% - 36.73%,19.84
6755,3920,63.28% - 36.72%,19.83
6756,3919,63.29% - 36.71%,19.82
6757,3918,63.3% - 36.7%,19.81
6758,3917,63.31% - 36.69%,19.8
6759,3916,63.32% - 36.68%,19.79
6760,3915,63.33% - 36.67%,19.78
6761,3914,63.33% - 36.67%,19.77
6762,3913,63.34% - 36.66%,19.76
6763,3912,63.35% - 36.65%,19.75
6764,3911,63.36% - 36.64%,19.74
6765,3910,63.37% - 36.63%,19.73
6766,3909,63.38% - 36.62%,19.73
6767,3908,63.39% - 36.61%,19.72
6768,3907,63.4% - 36.6%,19.71
6769,3906,63.41% - 36.59%,19.7
6770,3905,63.42% - 36.58%,19.69
6771,3904,63.43% - 36.57%,19.68
6772,3903,63.44% - 36.56%,19.67
6773,3902,63.45% - 36.55%,19.66
6774,3901,63.46% - 36.54%,19.65
6775,3900,63.47% - 36.53%,19.64
6776,3899,63.48% - 36.52%,19.63
6777,3898,63.48% - 36.52%,19.62
6778,3897,63.49% - 36.51%,19.61
6779,3896,63.5% - 36.5%,19.6
6780,3895,63.51% - 36.49%,19.6
6781,3894,63.52% - 36.48%,19.59
6782,3893,63.53% - 36.47%,19.58
6783,3892,63.54% - 36.46%,19.57
6784,3891,63.55% - 36.45%,19.56
6785,3890,63.56% - 36.44%,19.55
6786,3889,63.57% - 36.43%,19.54
6787,3888,63.58% - 36.42%,19.53
6788,3887,63.59% - 36.41%,19.52
6789,3886,63.6% - 36.4%,19.51
6790,3885,63.61% - 36.39%,19.5
6791,3884,63.62% - 36.38%,19.49
6792,3883,63.63% - 36.37%,19.48
6793,3882,63.63% - 36.37%,19.47
6794,3881,63.64% - 36.36%,19.46
6795,3880,63.65% - 36.35%,19.46
6796,3879,63.66% - 36.34%,19.45
6797,3878,63.67% - 36.33%,19.44
6798,3877,63.68% - 36.32%,19.43
6799,3876,63.69% - 36.31%,19.42
6800,3875,63.7% - 36.3%,19.41
6801,3874,63.71% - 36.29%,19.4
6802,3873,63.72% - 36.28%,19.39
6803,3872,63.73% - 36.27%,19.38
6804,3871,63.74% - 36.26%,19.37
6805,3870,63.75% - 36.25%,19.36
6806,3869,63.76% - 36.24%,19.35
6807,3868,63.77% - 36.23%,19.34
6808,3867,63.78% - 36.22%,19.33
6809,3866,63.78% - 36.22%,19.32
6810,3865,63.79% - 36.21%,19.32
6811,3864,63.8% - 36.2%,19.31
6812,3863,63.81% - 36.19%,19.3
6813,3862,63.82% - 36.18%,19.29
6814,3861,63.83% - 36.17%,19.28
6815,3860,63.84% - 36.16%,19.27
6816,3859,63.85% - 36.15%,19.26
6817,3858,63.86% - 36.14%,19.25
6818,3857,63.87% - 36.13%,19.24
6819,3856,63.88% - 36.12%,19.23
6820,3855,63.89% - 36.11%,19.22
6821,3854,63.9% - 36.1%,19.21
6822,3853,63.91% - 36.09%,19.2
6823,3852,63.92% - 36.08%,19.19
6824,3851,63.93% - 36.07%,19.19
6825,3850,63.93% - 36.07%,19.18
6826,3849,63.94% - 36.06%,19.17
6827,3848,63.95% - 36.05%,19.16
6828,3847,63.96% - 36.04%,19.15
6829,3846,63.97% - 36.03%,19.14
6830,3845,63.98% - 36.02%,19.13
6831,3844,63.99% - 36.01%,19.12
6832,3843,64.0% - 36.0%,19.11
6833,3842,64.01% - 35.99%,19.1
6834,3841,64.02% - 35.98%,19.09
6835,3840,64.03% - 35.97%,19.08
6836,3839,64.04% - 35.96%,19.07
6837,3838,64.05% - 35.95%,19.06
6838,3837,64.06% - 35.94%,19.05
6839,3836,64.07% - 35.93%,19.05
6840,3835,64.07% - 35.93%,19.04
6841,3834,64.08% - 35.92%,19.03
6842,3833,64.09% - 35.91%,19.02
6843,3832,64.1% - 35.9%,19.01
6844,3831,64.11% - 35.89%,19.0
6845,3830,64.12% - 35.88%,18.99
6846,3829,64.13% - 35.87%,18.98
6847,3828,64.14% - 35.86%,18.97
6848,3827,64.15% - 35.85%,18.96
6849,3826,64.16% - 35.84%,18.95
6850,3825,64.17% - 35.83%,18.94
6851,3824,64.18% - 35.82%,18.93
6852,3823,64.19% - 35.81%,18.92
6853,3822,64.2% - 35.8%,18.91
6854,3821,64.21% - 35.79%,18.91
6855,3820,64.22% - 35.78%,18.9
6856,3819,64.22% - 35.78%,18.89
6857,3818,64.23% - 35.77%,18.88
6858,3817,64.24% - 35.76%,18.87
6859,3816,64.25% - 35.75%,18.86
6860,3815,64.26% - 35.74%,18.85
6861,3814,64.27% - 35.73%,18.84
6862,3813,64.28% - 35.72%,18.83
6863,3812,64.29% - 35.71%,18.82
6864,3811,64.3% - 35.7%,18.81
6865,3810,64.31% - 35.69%,18.8
6866,3809,64.32% - 35.68%,18.79
6867,3808,64.33% - 35.67%,18.78
6868,3807,64.34% - 35.66%,18.77
6869,3806,64.35% - 35.65%,18.77
6870,3805,64.36% - 35.64%,18.76
6871,3804,64.37% - 35.63%,18.75
6872,3803,64.37% - 35.63%,18.74
6873,3802,64.38% - 35.62%,18.73
6874,3801,64.39% - 35.61%,18.72
6875,3800,64.4% - 35.6%,18.71
6876,3799,64.41% - 35.59%,18.7
6877,3798,64.42% - 35.58%,18.69
6878,3797,64.43% - 35.57%,18.68
6879,3796,64.44% - 35.56%,18.67
6880,3795,64.45% - 35.55%,18.66
6881,3794,64.46% - 35.54%,18.65
6882,3793,64.47% - 35.53%,18.64
6883,3792,64.48% - 35.52%,18.63
6884,3791,64.49% - 35.51%,18.63
6885,3790,64.5% - 35.5%,18.62
6886,3789,64.51% - 35.49%,18.61
6887,3788,64.52% - 35.48%,18.6
6888,3787,64.52% - 35.48%,18.59
6889,3786,64.53% - 35.47%,18.58
6890,3785,64.54% - 35.46%,18.57
6891,3784,64.55% - 35.45%,18.56
6892,3783,64.56% - 35.44%,18.55
6893,3782,64.57% - 35.43%,18.54
6894,3781,64.58% - 35.42%,18.53
6895,3780,64.59% - 35.41%,18.52
6896,3779,64.6% - 35.4%,18.51
6897,3778,64.61% - 35.39%,18.5
6898,3777,64.62% - 35.38%,18.49
6899,3776,64.63% - 35.37%,18.49
6900,3775,64.64% - 35.36%,18.48
6901,3774,64.65% - 35.35%,18.47
6902,3773,64.66% - 35.34%,18.46
6903,3772,64.67% - 35.33%,18.45
6904,3771,64.67% - 35.33%,18.44
6905,3770,64.68% - 35.32%,18.43
6906,3769,64.69% - 35.31%,18.42
6907,3768,64.7% - 35.3%,18.41
6908,3767,64.71% - 35.29%,18.4
6909,3766,64.72% - 35.28%,18.39
6910,3765,64.73% - 35.27%,18.38
6911,3764,64.74% - 35.26%,18.37
6912,3763,64.75% - 35.25%,18.36
6913,3762,64.76% - 35.24%,18.35
6914,3761,64.77% - 35.23%,18.35
6915,3760,64.78% - 35.22%,18.34
6916,3759,64.79% - 35.21%,18.33
6917,3758,64.8% - 35.2%,18.32
6918,3757,64.81% - 35.19%,18.31
6919,3756,64.81% - 35.19%,18.3
6920,3755,64.82% - 35.18%,18.29
6921,3754,64.83% - 35.17%,18.28
6922,3753,64.84% - 35.16%,18.27
6923,3752,64.85% - 35.15%,18.26
6924,3751,64.86% - 35.14%,18.25
6925,3750,64.87% - 35.13%,18.24
6926,3749,64.88% - 35.12%,18.23
6927,3748,64.89% - 35.11%,18.22
6928,3747,64.9% - 35.1%,18.21
6929,3746,64.91% - 35.09%,18.21
6930,3745,64.92% - 35.08%,18.2
6931,3744,64.93% - 35.07%,18.19
6932,3743,64.94% - 35.06%,18.18
6933,3742,64.95% - 35.05%,18.17
6934,3741,64.96% - 35.04%,18.16
6935,3740,64.96% - 35.04%,18.15
6936,3739,64.97% - 35.03%,18.14
6937,3738,64.98% - 35.02%,18.13
6938,3737,64.99% - 35.01%,18.12
6939,3736,65.0% - 35.0%,18.11
6940,3735,65.01% - 34.99%,18.1
6941,3734,65.02% - 34.98%,18.09
6942,3733,65.03% - 34.97%,18.08
6943,3732,65.04% - 34.96%,18.07
6944,3731,65.05% - 34.95%,18.07
6945,3730,65.06% - 34.94%,18.06
6946,3729,65.07% - 34.93%,18.05
6947,3728,65.08% - 34.92%,18.04
6948,3727,65.09% - 34.91%,18.03
6949,3726,65.1% - 34.9%,18.02
6950,3725,65.11% - 34.89%,18.01
6951,3724,65.11% - 34.89%,18.0
6952,3723,65.12% - 34.88%,17.99
6953,3722,65.13% - 34.87%,17.98
6954,3721,65.14% - 34.86%,17.97
6955,3720,65.15% - 34.85%,17.96
6956,3719,65.16% - 34.84%,17.95
6957,3718,65.17% - 34.83%,17.94
6958,3717,65.18% - 34.82%,17.93
6959,3716,65.19% - 34.81%,17.93
6960,3715,65.2% - 34.8%,17.92
6961,3714,65.21% - 34.79%,17.91
6962,3713,65.22% - 34.78%,17.9
6963,3712,65.23% - 34.77%,17.89
6964,3711,65.24% - 34.76%,17.88
6965,3710,65.25% - 34.75%,17.87
6966,3709,65.26% - 34.74%,17.86
6967,3708,65.26% - 34.74%,17.85
6968,3707,65.27% - 34.73%,17.84
6969,3706,65.28% - 34.72%,17.83
6970,3705,65.29% - 34.71%,17.82
6971,3704,65.3% - 34.7%,17.81
6972,3703,65.31% - 34.69%,17.8
6973,3702,65.32% - 34.68%,17.8
6974,3701,65.33% - 34.67%,17.79
6975,3700,65.34% - 34.66%,17.78
6976,3699,65.35% - 34.65%,17.77
6977,3698,65.36% - 34.64%,17.76
6978,3697,65.37% - 34.63%,17.75
6979,3696,65.38% - 34.62%,17.74
6980,3695,65.39% - 34.61%,17.73
6981,3694,65.4% - 34.6%,17.72
6982,3693,65.41% - 34.59%,17.71
6983,3692,65.41% - 34.59%,17.7
6984,3691,65.42% - 34.58%,17.69
6985,3690,65.43% - 34.57%,17.68
6986,3689,65.44% - 34.56%,17.67
6987,3688,65.45% - 34.55%,17.66
6988,3687,65.46% - 34.54%,17.66
6989,3686,65.47% - 34.53%,17.65
6990,3685,65.48% - 34.52%,17.64
6991,3684,65.49% - 34.51%,17.63
6992,3683,65.5% - 34.5%,17.62
6993,3682,65.51% - 34.49%,17.61
6994,3681,65.52% - 34.48%,17.6
6995,3680,65.53% - 34.47%,17.59
6996,3679,65.54% - 34.46%,17.58
6997,3678,65.55% - 34.45%,17.57
6998,3677,65.56% - 34.44%,17.56
6999,3676,65.56% - 34.44%,17.55
7000,3675,65.57% - 34.43%,17.54
7001,3674,65.58% - 34.42%,17.53
7002,3673,65.59% - 34.41%,17.52
7003,3672,65.6% - 34.4%,17.52
7004,3671,65.61% - 34.39%,17.51
7005,3670,65.62% - 34.38%,17.5
7006,3669,65.63% - 34.37%,17.49
7007,3668,65.64% - 34.36%,17.48
7008,3667,65.65% - 34.35%,17.47
7009,3666,65.66% - 34.34%,17.46
7010,3665,65.67% - 34.33%,17.45
7011,3664,65.68% - 34.32%,17.44
7012,3663,65.69% - 34.31%,17.43
7013,3662,65.7% - 34.3%,17.42
7014,3661,65.7% - 34.3%,17.41
7015,3660,65.71% - 34.29%,17.4
7016,3659,65.72% - 34.28%,17.39
7017,3658,65.73% - 34.27%,17.39
7018,3657,65.74% - 34.26%,17.38
7019,3656,65.75% - 34.25%,17.37
7020,3655,65.76% - 34.24%,17.36
7021,3654,65.77% - 34.23%,17.35
7022,3653,65.78% - 34.22%,17.34
7023,3652,65.79% - 34.21%,17.33
7024,3651,65.8% - 34.2%,17.32
7025,3650,65.81% - 34.19%,17.31
7026,3649,65.82% - 34.18%,17.3
7027,3648,65.83% - 34.17%,17.29
7028,3647,65.84% - 34.16%,17.28
7029,3646,65.85% - 34.15%,17.27
7030,3645,65.85% - 34.15%,17.26
7031,3644,65.86% - 34.14%,17.26
7032,3643,65.87% - 34.13%,17.25
7033,3642,65.88% - 34.12%,17.24
7034,3641,65.89% - 34.11%,17.23
7035,3640,65.9% - 34.1%,17.22
7036,3639,65.91% - 34.09%,17.21
7037,3638,65.92% - 34.08%,17.2
7038,3637,65.93% - 34.07%,17.19
7039,3636,65.94% - 34.06%,17.18
7040,3635,65.95% - 34.05%,17.17
7041,3634,65.96% - 34.04%,17.16
7042,3633,65.97% - 34.03%,17.15
7043,3632,65.98% - 34.02%,17.14
7044,3631,65.99% - 34.01%,17.13
7045,3630,66.0% - 34.0%,17.12
7046,3629,66.0% - 34.0%,17.12
7047,3628,66.01% - 33.99%,17.11
7048,3627,66.02% - 33.98%,17.1
7049,3626,66.03% - 33.97%,17.09
7050,3625,66.04% - 33.96%,17.08
7051,3624,66.05% - 33.95%,17.07
7052,3623,66.06% - 33.94%,17.06
7053,3622,66.07% - 33.93%,17.05
7054,3621,66.08% - 33.92%,17.04
7055,3620,66.09% - 33.91%,17.03
7056,3619,66.1% - 33.9%,17.02
7057,3618,66.11% - 33.89%,17.01
7058,3617,66.12% - 33.88%,17.0
7059,3616,66.13% - 33.87%,16.99
7060,3615,66.14% - 33.86%,16.99
7061,3614,66.15% - 33.85%,16.98
7062,3613,66.15% - 33.85%,16.97
7063,3612,66.16% - 33.84%,16.96
7064,3611,66.17% - 33.83%,16.95
7065,3610,66.18% - 33.82%,16.94
7066,3609,66.19% - 33.81%,16.93
7067,3608,66.2% - 33.8%,16.92
7068,3607,66.21% - 33.79%,16.91
7069,3606,66.22% - 33.78%,16.9
7070,3605,66.23% - 33.77%,16.89
7071,3604,66.24% - 33.76%,16.88
7072,3603,66.25% - 33.75%,16.87
7073,3602,66.26% - 33.74%,16.86
7074,3601,66.27% - 33.73%,16.86
7075,3600,66.28% - 33.72%,16.85
7076,3599,66.29% - 33.71%,16.84
7077,3598,66.3% - 33.7%,16.83
7078,3597,66.3% - 33.7%,16.82
7079,3596,66.31% - 33.69%,16.81
7080,3595,66.32% - 33.68%,16.8
7081,3594,66.33% - 33.67%,16.79
7082,3593,66.34% - 33.66%,16.78
7083,3592,66.35% - 33.65%,16.77
7084,3591,66.36% - 33.64%,16.76
7085,3590,66.37% - 33.63%,16.75
7086,3589,66.38% - 33.62%,16.74
7087,3588,66.39% - 33.61%,16.73
7088,3587,66.4% - 33.6%,16.73
7089,3586,66.41% - 33.59%,16.72
7090,3585,66.42% - 33.58%,16.71
7091,3584,66.43% - 33.57%,16.7
7092,3583,66.44% - 33.56%,16.69
7093,3582,66.44% - 33.56%,16.68
7094,3581,66.45% - 33.55%,16.67
7095,3580,66.46% - 33.54%,16.66
7096,3579,66.47% - 33.53%,16.65
7097,3578,66.48% - 33.52%,16.64
7098,3577,66.49% - 33.51%,16.63
7099,3576,66.5% - 33.5%,16.62
7100,3575,66.51% - 33.49%,16.61
7101,3574,66.52% - 33.48%,16.61
7102,3573,66.53% - 33.47%,16.6
7103,3572,66.54% - 33.46%,16.59
7104,3571,66.55% - 33.45%,16.58
7105,3570,66.56% - 33.44%,16.57
7106,3569,66.57% - 33.43%,16.56
7107,3568,66.58% - 33.42%,16.55
7108,3567,66.59% - 33.41%,16.54
7109,3566,66.59% - 33.41%,16.53
7110,3565,66.6% - 33.4%,16.52
7111,3564,66.61% - 33.39%,16.51
7112,3563,66.62% - 33.38%,16.5
7113,3562,66.63% - 33.37%,16.49
7114,3561,66.64% - 33.36%,16.48
7115,3560,66.65% - 33.35%,16.48
7116,3559,66.66% - 33.34%,16.47
7117,3558,66.67% - 33.33%,16.46
7118,3557,66.68% - 33.32%,16.45
7119,3556,66.69% - 33.31%,16.44
7120,3555,66.7% - 33.3%,16.43
7121,3554,66.71% - 33.29%,16.42
7122,3553,66.72% - 33.28%,16.41
7123,3552,66.73% - 33.27%,16.4
7124,3551,66.74% - 33.26%,16.39
7125,3550,66.74% - 33.26%,16.38
7126,3549,66.75% - 33.25%,16.37
7127,3548,66.76% - 33.24%,16.36
7128,3547,66.77% - 33.23%,16.36
7129,3546,66.78% - 33.22%,16.35
7130,3545,66.79% - 33.21%,16.34
7131,3544,66.8% - 33.2%,16.33
7132,3543,66.81% - 33.19%,16.32
7133,3542,66.82% - 33.18%,16.31
7134,3541,66.83% - 33.17%,16.3
7135,3540,66.84% - 33.16%,16.29
7136,3539,66.85% - 33.15%,16.28
7137,3538,66.86% - 33.14%,16.27
7138,3537,66.87% - 33.13%,16.26
7139,3536,66.88% - 33.12%,16.25
7140,3535,66.89% - 33.11%,16.24
7141,3534,66.89% - 33.11%,16.24
7142,3533,66.9% - 33.1%,16.23
7143,3532,66.91% - 33.09%,16.22
7144,3531,66.92% - 33.08%,16.21
7145,3530,66.93% - 33.07%,16.2
7146,3529,66.94% - 33.06%,16.19
7147,3528,66.95% - 33.05%,16.18
7148,3527,66.96% - 33.04%,16.17
7149,3526,66.97% - 33.03%,16.16
7150,3525,66.98% - 33.02%,16.15
7151,3524,66.99% - 33.01%,16.14
7152,3523,67.0% - 33.0%,16.13
7153,3522,67.01% - 32.99%,16.12
7154,3521,67.02% - 32.98%,16.12
7155,3520,67.03% - 32.97%,16.11
7156,3519,67.04% - 32.96%,16.1
7157,3518,67.04% - 32.96%,16.09
7158,3517,67.05% - 32.95%,16.08
7159,3516,67.06% - 32.94%,16.07
7160,3515,67.07% - 32.93%,16.06
7161,3514,67.08% - 32.92%,16.05
7162,3513,67.09% - 32.91%,16.04
7163,3512,67.1% - 32.9%,16.03
7164,3511,67.11% - 32.89%,16.02
7165,3510,67.12% - 32.88%,16.01
7166,3509,67.13% - 32.87%,16.0
7167,3508,67.14% - 32.86%,16.0
7168,3507,67.15% - 32.85%,15.99
7169,3506,67.16% - 32.84%,15.98
7170,3505,67.17% - 32.83%,15.97
7171,3504,67.18% - 32.82%,15.96
7172,3503,67.19% - 32.81%,15.95
7173,3502,67.19% - 32.81%,15.94
7174,3501,67.2% - 32.8%,15.93
7175,3500,67.21% - 32.79%,15.92
7176,3499,67.22% - 32.78%,15.91
7177,3498,67.23% - 32.77%,15.9
7178,3497,67.24% - 32.76%,15.89
7179,3496,67.25% - 32.75%,15.88
7180,3495,67.26% - 32.74%,15.88
7181,3494,67.27% - 32.73%,15.87
7182,3493,67.28% - 32.72%,15.86
7183,3492,67.29% - 32.71%,15.85
7184,3491,67.3% - 32.7%,15.84
7185,3490,67.31% - 32.69%,15.83
7186,3489,67.32% - 32.68%,15.82
7187,3488,67.33% - 32.67%,15.81
7188,3487,67.33% - 32.67%,15.8
7189,3486,67.34% - 32.66%,15.79
7190,3485,67.35% - 32.65%,15.78
7191,3484,67.36% - 32.64%,15.77
7192,3483,67.37% - 32.63%,15.76
7193,3482,67.38% - 32.62%,15.76
7194,3481,67.39% - 32.61%,15.75
7195,3480,67.4% - 32.6%,15.74
7196,3479,67.41% - 32.59%,15.73
7197,3478,67.42% - 32.58%,15.72
7198,3477,67.43% - 32.57%,15.71
7199,3476,67.44% - 32.56%,15.7
7200,3475,67.45% - 32.55%,15.69
7201,3474,67.46% - 32.54%,15.68
7202,3473,67.47% - 32.53%,15.67
7203,3472,67.48% - 32.52%,15.66
7204,3471,67.48% - 32.52%,15.65
7205,3470,67.49% - 32.51%,15.65
7206,3469,67.5% - 32.5%,15.64
7207,3468,67.51% - 32.49%,15.63
7208,3467,67.52% - 32.48%,15.62
7209,3466,67.53% - 32.47%,15.61
7210,3465,67.54% - 32.46%,15.6
7211,3464,67.55% - 32.45%,15.59
7212,3463,67.56% - 32.44%,15.58
7213,3462,67.57% - 32.43%,15.57
7214,3461,67.58% - 32.42%,15.56
7215,3460,67.59% - 32.41%,15.55
7216,3459,67.6% - 32.4%,15.54
7217,3458,67.61% - 32.39%,15.54
7218,3457,67.62% - 32.38%,15.53
7219,3456,67.63% - 32.37%,15.52
7220,3455,67.63% - 32.37%,15.51
7221,3454,67.64% - 32.36%,15.5
7222,3453,67.65% - 32.35%,15.49
7223,3452,67.66% - 32.34%,15.48
7224,3451,67.67% - 32.33%,15.47
7225,3450,67.68% - 32.32%,15.46
7226,3449,67.69% - 32.31%,15.45
7227,3448,67.7% - 32.3%,15.44
7228,3447,67.71% - 32.29%,15.43
7229,3446,67.72% - 32.28%,15.43
7230,3445,67.73% - 32.27%,15.42
7231,3444,67.74% - 32.26%,15.41
7232,3443,67.75% - 32.25%,15.4
7233,3442,67.76% - 32.24%,15.39
7234,3441,67.77% - 32.23%,15.38
7235,3440,67.78% - 32.22%,15.37
7236,3439,67.78% - 32.22%,15.36
7237,3438,67.79% - 32.21%,15.35
7238,3437,67.8% - 32.2%,15.34
7239,3436,67.81% - 32.19%,15.33
7240,3435,67.82% - 32.18%,15.32
7241,3434,67.83% - 32.17%,15.32
7242,3433,67.84% - 32.16%,15.31
7243,3432,67.85% - 32.15%,15.3
7244,3431,67.86% - 32.14%,15.29
7245,3430,67.87% - 32.13%,15.28
7246,3429,67.88% - 32.12%,15.27
7247,3428,67.89% - 32.11%,15.26
7248,3427,67.9% - 32.1%,15.25
7249,3426,67.91% - 32.09%,15.24
7250,3425,67.92% - 32.08%,15.23
7251,3424,67.93% - 32.07%,15.22
7252,3423,67.93% - 32.07%,15.21
7253,3422,67.94% - 32.06%,15.21
7254,3421,67.95% - 32.05%,15.2
7255,3420,67.96% - 32.04%,15.19
7256,3419,67.97% - 32.03%,15.18
7257,3418,67.98% - 32.02%,15.17
7258,3417,67.99% - 32.01%,15.16
7259,3416,68.0% - 32.0%,15.15
7260,3415,68.01% - 31.99%,15.14
7261,3414,68.02% - 31.98%,15.13
7262,3413,68.03% - 31.97%,15.12
7263,3412,68.04% - 31.96%,15.11
7264,3411,68.05% - 31.95%,15.11
7265,3410,68.06% - 31.94%,15.1
7266,3409,68.07% - 31.93%,15.09
7267,3408,68.07% - 31.93%,15.08
7268,3407,68.08% - 31.92%,15.07
7269,3406,68.09% - 31.91%,15.06
7270,3405,68.1% - 31.9%,15.05
7271,3404,68.11% - 31.89%,15.04
7272,3403,68.12% - 31.88%,15.03
7273,3402,68.13% - 31.87%,15.02
7274,3401,68.14% - 31.86%,15.01
7275,3400,68.15% - 31.85%,15.0
7276,3399,68.16% - 31.84%,15.0
7277,3398,68.17% - 31.83%,14.99
7278,3397,68.18% - 31.82%,14.98
7279,3396,68.19% - 31.81%,14.97
7280,3395,68.2% - 31.8%,14.96
7281,3394,68.21% - 31.79%,14.95
7282,3393,68.22% - 31.78%,14.94
7283,3392,68.22% - 31.78%,14.93
7284,3391,68.23% - 31.77%,14.92
7285,3390,68.24% - 31.76%,14.91
7286,3389,68.25% - 31.75%,14.9
7287,3388,68.26% - 31.74%,14.9
7288,3387,68.27% - 31.73%,14.89
7289,3386,68.28% - 31.72%,14.88
7290,3385,68.29% - 31.71%,14.87
7291,3384,68.3% - 31.7%,14.86
7292,3383,68.31% - 31.69%,14.85
7293,3382,68.32% - 31.68%,14.84
7294,3381,68.33% - 31.67%,14.83
7295,3380,68.34% - 31.66%,14.82
7296,3379,68.35% - 31.65%,14.81
7297,3378,68.36% - 31.64%,14.8
7298,3377,68.37% - 31.63%,14.8
7299,3376,68.37% - 31.63%,14.79
7300,3375,68.38% - 31.62%,14.78
7301,3374,68.39% - 31.61%,14.77
7302,3373,68.4% - 31.6%,14.76
7303,3372,68.41% - 31.59%,14.75
7304,3371,68.42% - 31.58%,14.74
7305,3370,68.43% - 31.57%,14.73
7306,3369,68.44% - 31.56%,14.72
7307,3368,68.45% - 31.55%,14.71
7308,3367,68.46% - 31.54%,14.7
7309,3366,68.47% - 31.53%,14.7
7310,3365,68.48% - 31.52%,14.69
7311,3364,68.49% - 31.51%,14.68
7312,3363,68.5% - 31.5%,14.67
7313,3362,68.51% - 31.49%,14.66
7314,3361,68.52% - 31.48%,14.65
7315,3360,68.52% - 31.48%,14.64
7316,3359,68.53% - 31.47%,14.63
7317,3358,68.54% - 31.46%,14.62
7318,3357,68.55% - 31.45%,14.61
7319,3356,68.56% - 31.44%,14.6
7320,3355,68.57% - 31.43%,14.6
7321,3354,68.58% - 31.42%,14.59
7322,3353,68.59% - 31.41%,14.58
7323,3352,68.6% - 31.4%,14.57
7324,3351,68.61% - 31.39%,14.56
7325,3350,68.62% - 31.38%,14.55
7326,3349,68.63% - 31.37%,14.54
7327,3348,68.64% - 31.36%,14.53
7328,3347,68.65% - 31.35%,14.52
7329,3346,68.66% - 31.34%,14.51
7330,3345,68.67% - 31.33%,14.5
